"['106210306', '116.0569657', '39.70950562']"
"['106210306', '116.0569777', '39.70945663']"
"['106210306', '116.0569657', '39.70950562']"
"['106790666', '116.0462018', '39.72435565']"
"['106790666', '116.0462359', '39.72442375']"
"['106790666', '116.0462018', '39.72435565']"
"['106790666', '116.0462359', '39.72442375']"
"['106790666', '116.0462018', '39.72435565']"
"['106790666', '116.0462359', '39.72442375']"
"['106792281', '116.0491234', '39.72526465']"
"['106792281', '116.0491094', '39.72524561']"
"['106792281', '116.0491234', '39.72526465']"
"['106792281', '116.0491094', '39.72524561']"
"['106792281', '116.0491234', '39.72526465']"
"['106792281', '116.0491094', '39.72524561']"
"['106597857', '116.0434004', '39.72474487']"
"['106597857', '116.043271', '39.72470455']"
"['106597857', '116.0434004', '39.72474487']"
"['106597857', '116.043271', '39.72470455']"
"['106597857', '116.0434004', '39.72474487']"
"['106597857', '116.043271', '39.72470455']"
"['106792281', '116.0491234', '39.72526465']"
"['106792281', '116.0491094', '39.72524561']"
"['106792281', '116.0491234', '39.72526465']"
"['106792281', '116.0491094', '39.72524561']"
"['106792281', '116.0491234', '39.72526465']"
"['106792281', '116.0491094', '39.72524561']"
"['106790666', '116.0462018', '39.72435565']"
"['106790666', '116.0462359', '39.72442375']"
"['106790666', '116.0462018', '39.72435565']"
"['106790666', '116.0462359', '39.72442375']"
"['106790666', '116.0462018', '39.72435565']"
"['106790666', '116.0462359', '39.72442375']"
"['106597857', '116.0434004', '39.72474487']"
"['106597857', '116.043271', '39.72470455']"
"['106597857', '116.0434004', '39.72474487']"
"['106597857', '116.043271', '39.72470455']"
"['106597857', '116.0434004', '39.72474487']"
"['106597857', '116.043271', '39.72470455']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630081916', '116.0517507', '39.81947977']"
"['8630081916', '116.0517758', '39.81939782']"
"['8630081916', '116.0517507', '39.81947977']"
"['8630081916', '116.0517758', '39.81939782']"
"['226624703', '116.0537266', '39.88478692']"
"['226624703', '116.0536175', '39.88534572']"
"['226624703', '116.0537266', '39.88478692']"
"['226624703', '116.0536175', '39.88534572']"
"['226624703', '116.0537266', '39.88478692']"
"['226624703', '116.0536175', '39.88534572']"
"['106527485', '116.0510955', '39.97157273']"
"['106527485', '116.0512619', '39.9715931']"
"['226624815', '116.0476894', '39.97486503']"
"['226624815', '116.0476172', '39.97483886']"
"['226624815', '116.0476894', '39.97486503']"
"['226624815', '116.0476172', '39.97483886']"
"['226624815', '116.0476894', '39.97486503']"
"['226624815', '116.0476172', '39.97483886']"
"['226624815', '116.0476894', '39.97486503']"
"['226624815', '116.0476172', '39.97483886']"
"['8630405070', '116.0462572', '39.97906879']"
"['8630405070', '116.0461409', '39.97922252']"
"['8630405070', '116.0462572', '39.97906879']"
"['8630405070', '116.0461409', '39.97922252']"
"['8630405070', '116.0462572', '39.97906879']"
"['8630405070', '116.0461409', '39.97922252']"
"['8630405070', '116.0462572', '39.97906879']"
"['8630405070', '116.0461409', '39.97922252']"
"['106140685', '116.0520227', '40.01834275']"
"['106140685', '116.0519204', '40.01852553']"
"['106140685', '116.0520227', '40.01834275']"
"['106140685', '116.0519204', '40.01852553']"
"['106120689', '116.0624558', '39.63806729']"
"['106120689', '116.0623526', '39.63820412']"
"['106120689', '116.0624558', '39.63806729']"
"['106120689', '116.0623526', '39.63820412']"
"['106563868', '116.047451', '39.62820068']"
"['106563868', '116.0475562', '39.62774684']"
"['106563868', '116.047451', '39.62820068']"
"['106563868', '116.0475562', '39.62774684']"
"['106235870', '116.064394', '39.64325878']"
"['106235870', '116.0642287', '39.64299044']"
"['106235870', '116.064394', '39.64325878']"
"['106235870', '116.0642287', '39.64299044']"
